N.º,Afirmación,Respuesta,Justificación,Tema
12,El Principio de Construcción (Aufbau) dicta que los electrones llenan los orbitales siguiendo el orden de mayor a menor energía.,Falso,El principio de Aufbau dicta el llenado de los orbitales siguiendo el orden de menor a mayor energía.,Configuraciones Electrónicas
13,El número cuántico principal (n) solo define el tamaño de la órbita del electrón.,Falso,"Además del tamaño, el número cuántico principal (n) también está directamente relacionado con la energía del electrón.",Números Cuánticos
14,"Para el nivel energético n=4, los valores posibles del número cuántico secundario (azimutal) (l) son 0, 1, 2 y 3.",Verdadero,"Los valores de l van desde 0 hasta n-1. Para n=4, l puede ser 0 (s), 1 (p), 2 (d) y 3 (f).",Números Cuánticos
15,El número cuántico magnético (ml) determina la forma del orbital.,Falso,La forma del orbital está determinada por el número cuántico secundario (l). ml determina la orientación espacial del orbital.,Números Cuánticos
16,"Un electrón con el conjunto de números cuánticos (2, 2, -1, +1/2) es teóricamente posible en un átomo.",Falso,"Para n=2, el valor máximo permitido para l es n-1, es decir, l=1. Un valor de l=2 es imposible para n=2.",Números Cuánticos
17,La Energía de Ionización tiende a disminuir al movernos de izquierda a derecha en un mismo periodo.,Falso,La Energía de Ionización tiende a aumentar a lo largo de un periodo.,Propiedades Periódicas
18,Los elementos de un mismo grupo (columna) de la Tabla Periódica tienen el mismo número de capas electrónicas.,Falso,Los elementos de un mismo periodo (fila) tienen el mismo número de capas. Los de un grupo tienen el mismo número de electrones de valencia.,Propiedades Periódicas
19,El Radio Atómico generalmente aumenta al descender en un grupo de la Tabla Periódica.,Verdadero,"Al descender en un grupo, se añade una nueva capa electrónica, lo que incrementa el radio.",Propiedades Periódicas
20,El elemento con mayor Electronegatividad en la Tabla Periódica es el Cesio (Cs).,Falso,El elemento con mayor electronegatividad es el Flúor (F). El Cesio es el menos electronegativo.,Propiedades Periódicas
21,"El postulado de De Broglie establece la dualidad onda-partícula del electrón, asignándole propiedades ondulatorias además de su naturaleza de partícula.",Verdadero,"Este concepto, junto con el Principio de Incertidumbre de Heisenberg, sentó las bases de la Mecánica Cuántica.",Modelos Atómicos
22,El modelo de Rutherford fue el primero en introducir las órbitas circulares y cuantificadas para los electrones.,Falso,El modelo de Niels Bohr fue el que introdujo las órbitas cuantificadas para explicar la estabilidad del átomo y los espectros.,Modelos Atómicos
23,"Según el Principio de Incertidumbre de Heisenberg, es posible determinar con precisión absoluta la posición de un electrón si se conoce su momento lineal.",Falso,El principio establece que es imposible conocer ambos valores simultáneamente con precisión absoluta.,Modelos Atómicos
24,La conclusión principal del experimento de la lámina de oro de Rutherford fue que la mayoría del volumen del átomo está ocupado por el núcleo.,Falso,"La mayoría de las partículas alfa atravesaron la lámina sin desviarse, demostrando que el átomo está compuesto mayoritariamente por espacio vacío.",Modelos Atómicos
25,La masa atómica relativa de un elemento es el promedio ponderado de las masas de sus isótopos naturales.,Verdadero,Esta masa no es un número entero ya que considera la abundancia de cada isótopo.,Isótopos y Partículas
26,Un catión con carga +3 se forma porque el átomo ha ganado tres protones extra en su núcleo.,Falso,Los protones permanecen inalterados. Un catión +3 se forma cuando el átomo pierde tres electrones.,Isótopos y Partículas
27,El número atómico (Z) es el único responsable de determinar el número de electrones que posee un átomo.,Falso,"Z determina el número de protones. En un ion, el número de electrones es diferente de Z.",Isótopos y Partículas
28,El ion S²⁻ (Z=16) y el átomo Ar (Z=18) son isoelectrónicos.,Verdadero,"El ion S²⁻ tiene 16 + 2 = 18 electrones, el mismo número de electrones que el Argón (Z=18).",Isótopos y Partículas
29,Un subnivel energético f tiene la capacidad máxima de alojar 14 electrones.,Verdadero,"El subnivel f consta de 7 orbitales, y cada orbital aloja un máximo de 2 electrones (7 x 2 = 14).",Configuraciones Electrónicas
30,"En la configuración electrónica, el orbital 3d siempre se llena antes que el orbital 4s.",Falso,El orbital 4s se llena antes que el 3d ya que tiene menor energía (regla de Madelung).,Configuraciones Electrónicas
31,"Un átomo logra una estabilidad adicional si tiene subniveles d o f semillenos (por ejemplo, d⁵ o f⁷).",Verdadero,Las configuraciones semillenas y completamente llenas poseen una estabilidad energética superior.,Configuraciones Electrónicas
32,Todos los orbitales p tienen una forma geométrica esférica.,Falso,Solo los orbitales s son esféricos. Los orbitales p tienen una forma bilobulada.,Configuraciones Electrónicas
33,"Para un valor del número cuántico principal n=3, los valores posibles del número cuántico secundario (l) son 1 y 2.",Falso,"Para n=3, l puede ser 0, 1 y 2.",Números Cuánticos
34,El número cuántico magnético (ml) determina el espín del electrón.,Falso,El espín del electrón es determinado por el número cuántico de espín (ms). ml determina la orientación espacial del orbital.,Números Cuánticos
35,"El conjunto de números cuánticos (3, 1, 0, -1/2) es un conjunto válido y describe a un electrón en un orbital p del tercer nivel de energía.",Verdadero,"n=3, l=1 (orbital p) y ml=0 son valores permitidos.",Números Cuánticos
36,El número de orientaciones espaciales posibles para un subnivel d (l=2) es 5.,Verdadero,"El número de orbitales (orientaciones) es 2l+1. Para l=2, es 2(2)+1 = 5.",Números Cuánticos
37,El carácter metálico de los elementos aumenta al moverse de arriba hacia abajo en un grupo.,Verdadero,"Al descender, la electronegatividad y la energía de ionización disminuyen, y la tendencia a perder electrones (carácter metálico) aumenta.",Propiedades Periódicas
38,El elemento con la mayor Energía de Ionización (excluyendo gases nobles) es el Cesio (Cs).,Falso,El elemento más difícil de ionizar es el Flúor (F). El Cesio es el más fácil.,Propiedades Periódicas
39,Los elementos clasificados como metales de transición se encuentran en el bloque p de la Tabla Periódica.,Falso,Los metales de transición se encuentran en el bloque d. El bloque p contiene no metales y semimetales.,Propiedades Periódicas
40,El radio de un anión es siempre mayor que el radio del átomo neutro del que proviene.,Verdadero,"Al ganar electrones, aumenta la repulsión interelectrónica, lo que provoca que la nube electrónica se expanda.",Propiedades Periódicas
41,El modelo atómico de Dalton explicaba satisfactoriamente el espectro de emisión del átomo de hidrógeno.,Falso,Fue el modelo de Bohr el que introdujo la explicación de los espectros. El modelo de Dalton era muy simple.,Modelos Atómicos
42,El modelo de Thomson fue rechazado porque no lograba explicar por qué las partículas alfa eran desviadas al pasar cerca del núcleo.,Verdadero,El experimento de Rutherford demostró que el modelo de Thomson no podía explicar la desviación de las partículas alfa.,Modelos Atómicos
43,"En el modelo de Bohr, la energía de un electrón es inversamente proporcional al número cuántico principal n.",Falso,"La energía es directamente proporcional a n. A mayor n, mayor es la energía del electrón.",Modelos Atómicos
44,La Mecánica Cuántica describe el movimiento de los electrones mediante la trayectoria exacta que siguen alrededor del núcleo.,Falso,"La Mecánica Cuántica es probabilística, describe zonas de probabilidad (orbitales).",Modelos Atómicos
45,"Según el concepto de orbital atómico, la probabilidad de encontrar el electrón fuera de esta región es nula.",Falso,"Un orbital se define como la región donde la probabilidad de encontrar al electrón es superior al 90-95%, pero la probabilidad nunca es completamente nula.",Modelos Atómicos
46,La ecuación de Schrödinger describe el comportamiento del electrón como una onda estacionaria en el átomo.,Verdadero,La solución de la ecuación describe el comportamiento ondulatorio del electrón.,Modelos Atómicos
47,"En el modelo planetario de Rutherford, los electrones deberían emitir energía continuamente y colapsar sobre el núcleo.",Verdadero,Esta inestabilidad teórica fue una de las razones por las que su modelo tuvo que ser modificado por Bohr.,Modelos Atómicos
48,El modelo de Bohr introdujo por primera vez la idea de que la energía de los electrones está cuantizada.,Verdadero,Este fue su aporte fundamental para resolver la inestabilidad del modelo de Rutherford.,Modelos Atómicos
49,Todos los nucleidos (tipos de núcleos) con el mismo número atómico (Z) son isótopos del mismo elemento químico.,Verdadero,La identidad del elemento está definida únicamente por el número de protones (Z).,Isótopos y Partículas
50,Un átomo de Potasio (Z=19) con 20 neutrones tiene un número másico (A) de 39.,Verdadero,El número másico es A = protones + neutrones = 19 + 20 = 39.,Isótopos y Partículas
51,El número de protones y el número de neutrones siempre son idénticos en cualquier átomo neutro.,Falso,"El número de protones solo es idéntico al número de electrones en un átomo neutro, no al de neutrones.",Isótopos y Partículas
52,Un catión divalente (X²⁺) de un elemento con Z=12 tiene un total de 14 electrones.,Falso,El catión X²⁺ ha perdido 2 electrones: 12 - 2 = 10 electrones.,Isótopos y Partículas
53,Los isótonos son átomos de diferentes elementos que tienen el mismo número de electrones.,Falso,Los isótonos son átomos con el mismo número de neutrones. Los que tienen el mismo número de electrones se llaman isoelectrónicos.,Isótopos y Partículas
54,"La carga nuclear efectiva (Zₑբ) es la fuerza real de atracción que siente el electrón de valencia, considerando el apantallamiento de los electrones internos.",Verdadero,"Zₑբ es la carga neta positiva que ""ve"" el electrón más externo.",Isótopos y Partículas
55,Los átomos C-14 y N-14 son isóbaros.,Verdadero,Los isóbaros son nucleidos con el mismo número másico (A=14) pero diferente número atómico (Z).,Isótopos y Partículas
56,La masa de un protón es aproximadamente 1836 veces mayor que la masa de un electrón.,Verdadero,Esta es una relación de masas estándar. La masa de nucleones es mucho mayor que la del electrón.,Isótopos y Partículas
57,El Principio de Pauli impide que dos electrones en el mismo orbital tengan el mismo número cuántico de espín (ms).,Verdadero,"Si estuvieran en el mismo orbital, tendrían los mismos n, l, ml. Para diferenciarse, deben tener espines opuestos.",Configuraciones Electrónicas
58,"La configuración electrónica del Cobre (Cu, Z=29) en estado fundamental es [Ar]4s²3d⁹.",Falso,El Cobre presenta una excepción por estabilidad: la configuración es [Ar]4s¹3d¹⁰.,Configuraciones Electrónicas
59,"En un átomo, un electrón con n=3 y l=2 está ocupando un orbital tipo p.",Falso,l=2 corresponde a un orbital tipo d.,Configuraciones Electrónicas
60,La Regla de Hund se aplica únicamente para el llenado de orbitales que tienen la misma energía (orbitales degenerados).,Verdadero,"Solo en orbitales como 2p o 3d, la regla indica que se debe maximizar el espín antes de aparear.",Configuraciones Electrónicas
61,El número máximo de electrones que puede albergar cualquier subnivel es siempre 2.,Falso,"2 es el número máximo de electrones por orbital. El número máximo por subnivel puede ser 6 (p), 10 (d), 14 (f), etc.",Configuraciones Electrónicas
62,La distribución electrónica 1s²2s²2p⁶3s¹ corresponde a un átomo neutro en estado fundamental.,Verdadero,"Corresponde al Sodio (Na, Z=11) y es su configuración de mínima energía.",Configuraciones Electrónicas
63,Los electrones de la capa de valencia son los que determinan las propiedades químicas del elemento.,Verdadero,Estos electrones son los más externos y los que participan en la formación de enlaces químicos.,Configuraciones Electrónicas
64,Un orbital dx²⁻y² es energéticamente idéntico a un orbital dxy en un átomo aislado.,Verdadero,"Son orbitales degenerados (tienen la misma energía), aunque difieren en su orientación espacial.",Configuraciones Electrónicas
65,El número cuántico secundario (l) determina la energía de un orbital en el átomo de hidrógeno.,Falso,"En el átomo de hidrógeno, la energía del orbital depende solo del número cuántico principal (n).",Números Cuánticos
66,"Para un orbital p (l=1), los valores posibles de ml son -1, 0, 1.",Verdadero,"Los valores de ml van desde -l hasta +l. Para l=1, los valores son -1, 0, +1.",Números Cuánticos
67,"Un conjunto de números cuánticos (4, 3, -4, +1/2) es un conjunto válido.",Falso,"Si l=3, ml solo puede tomar valores desde -3 hasta +3. El valor de ml=-4 no es permitido.",Números Cuánticos
68,"El número cuántico principal n puede tomar cualquier valor entero positivo: 1, 2, 3, ...",Verdadero,n es un entero positivo que describe el nivel o capa principal de energía.,Números Cuánticos
69,El número de orbitales en el nivel n=2 es de 4.,Verdadero,"n=2 tiene subniveles 2s (1 orbital) y 2p (3 orbitales), para un total de 1+3=4 orbitales.",Números Cuánticos
70,"Si el número cuántico principal es n=1, solo puede existir el número cuántico secundario l=1.",Falso,"Para n=1, el único valor permitido para l es l=0 (orbital s).",Números Cuánticos
71,El número cuántico de espín (ms) está relacionado con el tamaño y la forma del orbital.,Falso,ms está relacionado únicamente con el momento angular intrínseco del electrón. El tamaño y la forma los definen n y l.,Números Cuánticos
72,Todos los orbitales con el mismo valor de n y l son degenerados (tienen la misma energía).,Verdadero,"Esta es la definición de orbitales degenerados (por ejemplo, los tres orbitales 2p).",Números Cuánticos
73,El Radio Iónico de un anión es siempre mayor que el radio del átomo neutro correspondiente.,Verdadero,"La ganancia de electrones aumenta la repulsión interelectrónica, expandiendo la nube de electrones.",Propiedades Periódicas
74,Los elementos del Grupo 1 (alcalinos) tienen la primera energía de ionización más alta de su periodo.,Falso,Los alcalinos tienen la primera energía de ionización más baja de su periodo.,Propiedades Periódicas
75,La Electronegatividad es la tendencia de un átomo a atraer electrones hacia sí cuando está unido químicamente a otro átomo.,Verdadero,Es una propiedad que mide la capacidad de atracción de electrones en un enlace.,Propiedades Periódicas
76,"El Radio Atómico se ve afectado por la carga nuclear efectiva (Zₑբ). A mayor Zₑբ, mayor es el radio.",Falso,"Una mayor Zₑբ atrae a los electrones con más fuerza, lo que provoca una disminución del radio atómico.",Propiedades Periódicas
77,Los elementos del bloque f (lantánidos y actínidos) se conocen como metales de transición internos.,Verdadero,Estos elementos se caracterizan por el llenado de los orbitales f.,Propiedades Periódicas
78,La Afinidad Electrónica de los gases nobles es generalmente muy alta (muy negativa).,Falso,"Los gases nobles tienen subniveles completos y no tienen tendencia a ganar electrones, por lo que su Afinidad Electrónica es cercana a cero o positiva.",Propiedades Periódicas
79,Los elementos del mismo periodo están caracterizados por tener el mismo número de electrones de valencia.,Falso,Los elementos del mismo grupo tienen el mismo número de electrones de valencia. Los del mismo periodo tienen el mismo número de capas de energía.,Propiedades Periódicas
80,El carácter no metálico y la Energía de Ionización siguen la misma tendencia general en la Tabla Periódica.,Verdadero,"Ambos aumentan hacia la derecha y hacia arriba, reflejando una mayor tendencia a ganar o retener electrones.",Propiedades Periódicas
81,La cuantización de la energía en el modelo de Bohr implica que un electrón puede tener cualquier valor de energía entre dos niveles permitidos.,Falso,"Cuantización significa que el electrón solo puede ocupar valores de energía discretos y fijos, no continuos.",Modelos Atómicos
82,El efecto fotoeléctrico es un fenómeno que puede explicarse correctamente asumiendo que la luz se comporta únicamente como una onda.,Falso,Este efecto solo se explica al considerar que la luz tiene un comportamiento de partícula (fotones).,Modelos Atómicos
83,Max Planck postuló que la energía de la radiación se emite o absorbe en paquetes discretos llamados cuantos.,Verdadero,Este fue el postulado fundamental que inició la Teoría Cuántica.,Modelos Atómicos
84,El radio del núcleo atómico es comparable en tamaño al radio de todo el átomo.,Falso,"El radio nuclear es minúsculo, unas 100.000 veces menor que el radio atómico.",Modelos Atómicos
85,El concepto de orbital atómico tiene su origen en las trayectorias circulares definidas por el modelo de Bohr.,Falso,"El orbital surge de la Mecánica Cuántica (Ecuación de Schrödinger), reemplazando el concepto clásico de órbita.",Modelos Atómicos
86,"La función de onda $\psi$ del electrón en el átomo carece de significado físico directo, pero su cuadrado, $\psi^2$, está relacionado con la probabilidad de encontrar el electrón.",Verdadero,$|\psi|^2$ representa la densidad de probabilidad electrónica.,Modelos Atómicos
87,El experimento de la difracción de electrones confirmó la hipótesis de De Broglie sobre la naturaleza ondulatoria de las partículas.,Verdadero,El patrón de difracción es una prueba irrefutable del carácter ondulatorio del electrón.,Modelos Atómicos
88,El modelo atómico actual (cuántico-ondulatorio) es un modelo perfectamente determinista que predice la ubicación exacta del electrón.,Falso,El modelo actual es probabilístico debido al Principio de Incertidumbre de Heisenberg.,Modelos Atómicos
89,La masa atómica relativa del Boro (B) es 10.81 u.m.a.. Esto indica que el isótopo más abundante es el Boro-11 (¹¹B).,Verdadero,"El valor de 10.81 está más cerca de la masa del Boro-11 que de la del Boro-10, por lo que ¹¹B debe ser el isótopo dominante.",Isótopos y Partículas
90,Los neutrones son las partículas responsables de mantener la estabilidad del núcleo atómico.,Verdadero,Los neutrones proporcionan la fuerza nuclear fuerte necesaria para contrarrestar la repulsión electrostática entre los protones.,Isótopos y Partículas
91,Un átomo neutro con Z=15 y A=31 tiene un total de 16 electrones.,Falso,"En un átomo neutro, el número de electrones es igual al número de protones (Z), por lo tanto, tiene 15 electrones.",Isótopos y Partículas
92,El ion Al³⁺ (Z=13) y el ion O²⁻ (Z=8) son isoelectrónicos.,Verdadero,Al³⁺ tiene 13 - 3 = 10 electrones. O²⁻ tiene 8 + 2 = 10 electrones.,Isótopos y Partículas
93,La diferencia entre el número de protones y electrones en cualquier átomo o ion determina su número másico (A).,Falso,Esta diferencia determina la carga iónica. El número másico (A) es la suma de protones y neutrones.,Isótopos y Partículas
94,El elemento Cloro (Cl) existe en la naturaleza como una mezcla de isótopos con propiedades químicas muy diferentes.,Falso,Los isótopos de un mismo elemento tienen propiedades químicas idénticas (dependen de los electrones de valencia).,Isótopos y Partículas
95,"Para el isótopo más común del Hidrógeno (Protio, ¹H), el número de neutrones es 1.",Falso,"El Protio tiene Z=1 y A=1, lo que implica 1 protón y 0 neutrones.",Isótopos y Partículas
96,Los isoelectrónicos son siempre iones o átomos de elementos diferentes.,Verdadero,Dos especies isoelectrónicas deben tener diferente número atómico (Z) para ser diferentes especies.,Isótopos y Partículas
97,"La configuración electrónica externa del Nitrógeno (N, Z=7) es 2s²2p³, y cumple la Regla de Hund.",Verdadero,El N tiene sus tres electrones p desapareados en los orbitales 2p para maximizar el espín.,Configuraciones Electrónicas
98,Un subnivel g (hipotético) correspondería al número cuántico secundario l=4 y podría albergar hasta 18 electrones.,Verdadero,"Para l=4, hay 2l+1 = 9 orbitales, y cada uno puede albergar 2 electrones, sumando 18.",Configuraciones Electrónicas
99,"La configuración electrónica de un anión como Cl⁻ (Z=17) es idéntica a la del gas noble Argón (Ar, Z=18).",Verdadero,"Ambos tienen 18 electrones: 17+1=18 para el Cl⁻, y 18 para el Ar.",Configuraciones Electrónicas
100,"El Principio de Mínima Energía (Aufbau) es la única regla que determina el orden de llenado de los orbitales, sin excepciones.",Falso,Hay excepciones (como el Cromo y el Cobre) donde la estabilidad de subniveles semillenos o llenos prevalece.,Configuraciones Electrónicas
101,"En un orbital pz, la probabilidad de encontrar el electrón es nula en el plano xy (plano nodal).",Verdadero,El plano nodal es una región donde la función de onda $\psi$ es cero.,Configuraciones Electrónicas
102,Todos los electrones de valencia de un elemento se encuentran siempre en la capa con el mayor valor de n.,Falso,"En los metales de transición, los electrones d y f de capas internas también se consideran electrones de valencia al formar iones.",Configuraciones Electrónicas
103,"En la configuración 1s²2s²2p⁶3s²3p⁵, el subnivel p está parcialmente lleno.",Verdadero,"El subnivel 3p tiene 5 electrones y su capacidad máxima es 6, por lo que está incompleto.",Configuraciones Electrónicas
104,"El Cromo (Cr, Z=24) en su estado fundamental tiene 6 electrones desapareados.",Verdadero,"La configuración es [Ar]4s¹3d⁵, lo que implica 1 electrón en 4s y 5 electrones en 3d, sumando 6 electrones desapareados.",Configuraciones Electrónicas
105,La capa principal con n=3 puede albergar un máximo de 18 electrones.,Verdadero,"La capacidad máxima de electrones en una capa es $2n^2$. Para n=3, $2(3)^2 = 18$ electrones.",Números Cuánticos
106,"Si un electrón tiene ml=-1, necesariamente debe estar en un orbital tipo p o superior ($l \ge 1$).",Verdadero,"Para tener un ml=-1, el número cuántico l debe ser al menos 1 (l=1 corresponde al orbital p).",Números Cuánticos
107,Dos electrones en el mismo orbital solo pueden diferir en el valor de su número cuántico de espín (ms).,Verdadero,"El Principio de Exclusión de Pauli obliga a que, si n, l, ml son iguales, ms debe ser diferente (±1/2).",Números Cuánticos
108,"El número cuántico de espín (ms) está cuantizado, es decir, solo puede tomar los valores de +1/2 y -1/2.",Verdadero,El espín solo describe las dos orientaciones posibles del momento angular intrínseco del electrón.,Números Cuánticos
109,El valor del número cuántico secundario (l) determina el número de electrones de valencia.,Falso,l determina la forma del orbital. El número de electrones de valencia se determina por la configuración electrónica en la capa más externa.,Números Cuánticos
110,"En el cuarto nivel de energía (n=4), el número de orbitales es 16.",Verdadero,"El número total de orbitales en una capa es $n^2$. Para n=4, $4^2 = 16$ orbitales.",Números Cuánticos
111,"Un electrón con el conjunto de números cuánticos (1, 0, 0, +1/2) es un electrón en el orbital de más alta energía del átomo.",Falso,"Es un electrón en el orbital 1s, que es el orbital de más baja energía (estado fundamental).",Números Cuánticos
112,El número de valores posibles para ml es igual al número de orbitales dentro de un subnivel dado.,Verdadero,Ambos valores son iguales a 2l+1.,Números Cuánticos
113,La Electropositividad de un elemento aumenta al descender en un grupo y al moverse de derecha a izquierda en un periodo.,Verdadero,"La Electropositividad es inversamente proporcional a la Electronegatividad, por lo que aumenta hacia la esquina inferior izquierda.",Propiedades Periódicas
114,Los elementos del Grupo 17 (Halógenos) tienen una Afinidad Electrónica muy alta (muy negativa) debido a que su configuración está a un solo electrón de ser completa.,Verdadero,Esto significa que liberan una gran cantidad de energía al ganar un electrón.,Propiedades Periódicas
115,La primera energía de ionización del Sodio (Na) es significativamente mayor que la segunda energía de ionización del Sodio.,Falso,"La segunda energía de ionización es mucho mayor, ya que implica arrancar un electrón de la capa interna completa ([Ne]).",Propiedades Periódicas
116,El Potasio (K) es un elemento más metálico que el Calcio (Ca).,Verdadero,El carácter metálico disminuye de izquierda a derecha en un periodo. El K (Alcalino) es más metálico que el Ca (Alcalinotérreo).,Propiedades Periódicas
117,La Electronegatividad se mide en unidades de energía como kJ/mol.,Falso,La Electronegatividad es una propiedad relativa y adimensional que se suele medir en la escala de Pauling.,Propiedades Periódicas
118,"Los elementos de transición interna (bloque f) tienen propiedades químicas muy diferentes entre sí, lo que justifica su colocación separada.",Falso,Los lantánidos y actínidos tienen propiedades químicas muy similares porque sus electrones f están apantallados.,Propiedades Periódicas
119,El Radio Iónico de un catión es siempre menor que el radio del átomo neutro del que proviene.,Verdadero,"La pérdida de electrones reduce las repulsiones y aumenta la Zₑբ sobre los electrones restantes, contrayendo el tamaño.",Propiedades Periódicas
120,Los elementos con mayor Radio Atómico se encuentran en la esquina superior derecha de la Tabla Periódica.,Falso,El radio atómico es mayor en la esquina inferior izquierda de la Tabla Periódica.,Propiedades Periódicas
121,La masa de un electrón es despreciable en comparación con la masa de un protón y un neutrón.,Verdadero,La masa del electrón es aproximadamente 1/1836 de la masa de un protón.,Isótopos y Partículas
122,"Un átomo neutro con 14 protones, 15 neutrones y 14 electrones tiene un número másico (A) de 29.",Verdadero,A = Protones + Neutrones = 14 + 15 = 29.,Isótopos y Partículas
123,El ion Fe³⁺ (Z=26) posee 23 electrones.,Verdadero,"El átomo neutro tiene 26 electrones, y al perder 3, queda con 26 - 3 = 23 electrones.",Isótopos y Partículas
124,Los isotopos de un elemento difieren en su número atómico (Z).,Falso,"Los isótopos tienen el mismo número atómico (Z), difieren en el número de neutrones.",Isótopos y Partículas
125,Un orbital d tiene siempre una geometría tetraédrica.,Falso,"Los orbitales d tienen formas más complejas, típicamente bilobuladas con diferentes orientaciones (excepto dz²).",Configuraciones Electrónicas
126,La configuración electrónica 1s²2s²2p⁶3s²3p⁶4s²3d¹⁰4p⁶ corresponde a un gas noble.,Verdadero,"Corresponde al Kriptón (Kr, Z=36).",Configuraciones Electrónicas
127,"El nivel de energía con n=5 posee subniveles s, p, d, f y g.",Verdadero,"Para n=5, l puede ser 0, 1, 2, 3 y 4 (que corresponde a los orbitales g).",Números Cuánticos
128,Un electrón que salta de n=3 a n=1 emite radiación de mayor energía que un salto de n=2 a n=1.,Verdadero,La diferencia de energía entre n=3 y n=1 es mayor que la diferencia entre n=2 y n=1.,Modelos Atómicos
129,El Radio Iónico de un anión es menor que el Radio Atómico de su elemento neutro.,Falso,El Radio Iónico del anión es mayor debido a la repulsión electrónica.,Propiedades Periódicas
130,La Electronegatividad es directamente proporcional al Radio Atómico.,Falso,"La Electronegatividad es inversamente proporcional al Radio Atómico; cuanto más pequeño es el átomo, más atrae los electrones.",Propiedades Periódicas
131,El modelo de Dalton no considera que el átomo es la parte más pequeña e indivisible de la materia.,Falso,El postulado central de Dalton es que los átomos son indivisibles e indestructibles.,Modelos Atómicos
132,La distribución de carga positiva y negativa en el modelo de Thomson es la de un núcleo denso central y electrones alrededor.,Falso,Esta descripción corresponde al modelo de Rutherford. El de Thomson es el pudin de pasas.,Modelos Atómicos
133,La longitud de onda asociada a un electrón en movimiento es inversamente proporcional a su momento lineal (masa x velocidad).,Verdadero,Esto se describe por la relación de De Broglie: $\lambda = h/p$.,Modelos Atómicos
134,La región de probabilidad del orbital 1s tiene forma de pesa (bilobulada).,Falso,El orbital 1s tiene forma esférica. Los orbitales p son bilobulados.,Configuraciones Electrónicas
135,Un orbital de tipo d puede albergar hasta 5 electrones.,Falso,Un subnivel d (5 orbitales) alberga 10 electrones en total. Un solo orbital alberga 2 electrones.,Configuraciones Electrónicas
136,"En un átomo polielectrónico, los subniveles con el mismo número cuántico principal (n) tienen siempre la misma energía (son degenerados).",Falso,"En un átomo polielectrónico, la energía depende de n y l. Ej: 2s y 2p no son degenerados.",Configuraciones Electrónicas
137,El elemento con Z=17 tiene su electrón de valencia con un número cuántico principal n=4.,Falso,"Z=17 (Cloro) tiene configuración [Ne]3s²3p⁵, por lo que su capa de valencia es n=3.",Configuraciones Electrónicas
138,El número cuántico magnético (ml) solo puede ser cero si el número cuántico secundario (l) es cero.,Verdadero,"Si l=0 (orbital s), ml debe ser 0. Si l>0, ml también puede ser 0.",Números Cuánticos
139,El número máximo de electrones en el subnivel l=3 (orbital f) es 14.,Verdadero,El subnivel f tiene 7 orbitales ($2l+1 = 7$) con capacidad para 14 electrones ($7 \times 2 = 14$).,Números Cuánticos
140,La Electronegatividad del Flúor (F) es menor que la del Cloro (Cl).,Falso,La electronegatividad aumenta hacia arriba en un grupo. El F (arriba) es más electronegativo que el Cl (abajo).,Propiedades Periódicas
